datetime_utc,temperature
19961117-00:00,10
19961117-01:00,11
19961117-02:00,11
19961117-03:00,14
19961117-04:00,18
19961117-05:00,21
19961117-06:00,23
19961117-07:00,25
19961117-08:00,25
19961117-09:00,26
19961117-10:00,25
19961117-11:00,24
19961117-12:00,22
19961117-13:00,18
19961117-14:00,17
19961117-15:00,17
19961117-16:00,17
19961117-17:00,16
19961117-18:00,14
19961117-19:00,14
19961117-20:00,14
19961117-21:00,13
19961117-22:00,12
19961117-23:00,12
19961118-00:00,13
19961118-01:00,13
19961118-02:00,15
19961118-03:00,17
19961118-04:00,22
19961118-05:00,25
19961118-10:00,28
19961118-11:00,25
19961118-12:00,21
19961118-13:00,21
19961118-14:00,20
19961118-15:00,19
19961118-16:00,18
19961118-17:00,17
19961118-18:00,16
19961118-19:00,17
19961118-21:00,15
19961118-22:00,17
19961118-23:00,15
19961119-00:00,16
19961119-01:00,16
19961119-02:00,17
19961119-03:00,19
19961119-04:00,20
19961119-05:00,24
19961119-06:00,24
19961119-07:00,25
19961119-08:00,25
19961119-09:00,25
19961119-10:00,25
19961119-11:00,23
19961119-12:00,19
19961119-13:00,17
19961119-15:00,17
19961119-16:00,16
19961119-17:00,17
19961119-18:00,16
19961119-19:00,16
19961119-20:00,16
19961119-21:00,15
19961119-22:00,17
19961119-23:00,17
19961120-00:00,17
19961120-01:00,17
19961120-02:00,22
19961120-03:00,19
19961120-05:00,22
19961120-06:00,23
19961120-08:00,25
19961120-09:00,25
19961120-10:00,23
19961120-11:00,22
19961120-12:00,21
19961120-13:00,20
19961120-14:00,21
19961120-15:00,20
19961120-16:00,20
19961120-17:00,19
19961120-18:00,19
19961120-19:00,16
19961120-20:00,17
19961120-21:00,16
19961120-22:00,14
19961120-23:00,14
19961121-01:00,14
19961121-02:00,15
19961121-03:00,15
19961121-04:00,16
19961121-05:00,19
19961121-06:00,22
19961121-07:00,23
19961121-08:00,25
19961121-09:00,25
19961121-10:00,25
19961121-12:00,20
19961121-13:00,19
19961121-14:00,19
19961121-15:00,19
19961121-16:00,17
19961121-17:00,17
19961121-18:00,16
19961121-19:00,15
19961121-20:00,13
19961121-21:00,13
19961121-22:00,11
19961121-23:00,11
19961122-00:00,11
19961122-02:00,12
19961122-03:00,12
19961122-04:00,16
19961122-05:00,19
19961122-10:00,23
19961122-11:00,21
19961122-12:00,19
19961122-13:00,16
19961122-14:00,15
19961122-15:00,14
19961122-16:00,15
19961122-17:00,13
19961122-18:00,13
19961122-19:00,13
19961122-21:00,12
19961122-22:00,12
19961122-23:00,12
19961123-01:00,12
19961123-02:00,14
19961123-03:00,14
19961123-04:00,17
19961123-05:00,19
19961123-06:00,20
19961123-07:00,21
19961123-08:00,22
19961123-09:00,23
19961123-10:00,22
19961123-11:00,21
19961123-12:00,19
19961123-13:00,17
19961123-14:00,16
19961123-15:00,15
19961123-16:00,15
19961123-17:00,14
19961123-18:00,14
19961123-19:00,13
19961123-20:00,12
19961123-21:00,12
19961123-22:00,11
19961123-23:00,10
19961124-00:00,10
19961124-01:00,11
19961124-02:00,12
19961124-03:00,13
19961124-04:00,16
19961124-05:00,19
19961124-06:00,21
19961124-07:00,22
19961124-08:00,24
19961124-09:00,24
19961124-10:00,24
19961124-11:00,22
19961124-12:00,19
19961124-13:00,16
19961124-14:00,17
19961124-15:00,16
19961124-16:00,15
19961124-17:00,13
19961124-18:00,14
19961124-19:00,12
19961124-20:00,13
19961124-21:00,11
19961124-22:00,12
19961124-23:00,11
19961125-00:00,11
19961125-01:00,12
19961125-02:00,13
19961125-03:00,15
19961125-04:00,17
19961125-05:00,20
19961125-06:00,22
19961125-08:00,24
19961125-09:00,24
19961125-10:00,25
19961125-11:00,23
19961125-12:00,20
19961125-13:00,17
19961125-14:00,17
19961125-15:00,16
19961125-16:00,15
19961125-17:00,15
