datetime_utc,temperature
20010429-01:30,29
20010429-02:30,32
20010429-03:30,34
20010429-04:30,36
20010429-05:30,38
20010429-06:30,39
20010429-07:30,41
20010429-08:30,42
20010429-11:30,42
20010429-12:30,41
20010429-13:30,40
20010429-14:30,
20010429-15:30,36
20010429-16:30,35
20010429-17:30,33
20010429-18:30,33
20010429-19:30,31
20010429-20:30,31
20010429-21:30,29
20010429-22:30,29
20010430-00:30,29
20010430-01:30,29
20010430-02:30,31
20010430-03:30,34
20010430-04:30,38
20010430-06:30,41
20010430-10:30,43
20010430-11:30,43
20010430-12:30,42
20010430-13:30,41
20010430-14:30,38
20010430-15:30,36
20010430-16:30,34
20010430-17:30,33
20010430-18:30,32
20010430-19:30,32
20010430-20:30,32
20010430-21:30,31
20010430-22:30,30
20010430-23:30,29
20010501-00:30,29
20010501-01:30,31
20010501-02:30,33
20010501-03:30,35
20010501-04:30,36
20010501-05:30,38
20010501-06:30,40
20010501-07:30,42
20010501-08:30,41
20010501-09:30,26
20010501-14:30,31
20010501-15:30,31
20010501-16:30,29
20010501-17:30,29
20010501-18:30,29
20010501-19:30,28
20010501-20:30,27
20010501-21:30,27
20010501-23:30,26
20010502-00:30,26
20010502-01:30,27
20010502-02:30,30
20010502-03:30,33
20010502-04:30,36
20010502-05:30,38
20010502-07:30,39
20010502-08:30,40
20010502-09:30,40
20010502-10:30,41
20010502-11:30,41
20010502-12:30,40
20010502-13:30,38
20010502-14:30,35
20010502-15:30,36
20010502-16:30,34
20010502-17:30,33
20010502-18:30,32
20010502-19:30,31
20010502-20:30,31
20010502-21:30,31
20010502-22:30,31
20010502-23:30,31
20010503-00:30,31
20010503-01:30,31
20010503-02:30,33
20010503-03:30,35
20010503-04:30,36
20010503-05:30,37
20010503-06:30,38
20010503-08:30,32
20010503-09:30,33
20010503-10:30,35
20010503-11:30,35
20010503-12:30,35
20010503-13:30,33
20010503-15:30,29
20010503-16:30,29
20010503-17:30,27
20010503-18:30,27
20010503-19:30,27
20010503-20:30,27
20010503-21:30,27
20010503-22:30,26
20010503-23:30,26
20010504-00:30,26
20010504-01:30,27
20010504-02:30,30
20010504-03:30,32
20010504-04:30,34
20010504-05:30,36
20010504-06:30,37
20010504-10:30,39
20010504-11:30,39
20010504-12:30,38
20010504-13:30,36
20010504-14:30,34
20010504-15:30,33
20010504-16:30,32
20010504-17:30,31
20010504-18:30,30
20010504-19:30,29
20010504-20:30,30
20010504-21:30,29
20010504-22:21,29
20010504-23:30,28
20010505-00:30,27
20010505-01:30,27
20010505-02:30,29
20010505-03:30,31
20010505-04:30,33
20010505-05:30,36
20010505-06:30,38
20010505-07:30,39
20010505-08:30,41
20010505-09:30,42
20010505-10:30,42
20010505-11:30,42
20010505-12:30,40
20010505-13:30,38
20010505-14:30,36
20010505-15:30,35
20010505-16:30,33
20010505-17:30,33
20010505-18:30,32
20010505-19:30,32
20010505-20:30,31
20010505-21:30,31
20010505-22:30,31
20010505-23:30,30
20010506-00:30,30
20010506-01:30,30
20010506-02:30,31
20010506-03:30,33
20010506-04:30,35
20010506-05:30,38
20010506-06:30,40
20010506-07:30,40
20010506-08:30,43
20010506-09:30,43
20010506-10:30,43
20010506-11:30,41
20010506-12:30,40
20010506-13:30,39
20010506-14:30,39
20010506-15:30,37
20010506-16:30,36
20010506-17:30,35
20010506-18:30,34
20010506-19:30,33
20010506-20:30,32
20010506-21:30,32
20010506-22:30,31
20010506-23:30,31
20010507-00:30,30
20010507-01:30,30
20010507-02:30,31
20010507-03:30,32
20010507-04:30,34
20010507-05:30,35
20010507-06:30,36
20010507-07:30,38
20010507-08:30,39
20010507-09:30,40
20010507-10:30,39
20010507-11:30,39
20010507-12:30,39
20010507-13:30,38
20010507-14:30,36
20010507-15:30,35
20010507-16:30,34
20010507-17:30,34
20010507-18:30,33
20010507-19:30,33
20010507-20:30,32
20010507-21:30,32
20010507-22:30,30
20010507-23:30,27
20010508-00:30,28
20010508-01:30,29
20010508-02:30,30
20010508-03:30,33
20010508-04:30,35
20010508-05:30,37
20010508-06:30,
20010508-07:30,40
20010508-08:30,40
20010508-09:30,41
20010508-10:30,42
20010508-11:30,41
20010508-12:30,41
20010508-13:30,39
20010508-14:30,37
20010508-15:30,36
20010508-16:30,36
20010508-17:30,34
20010508-18:30,33
20010508-19:30,33
20010508-20:30,32
20010508-21:30,31
20010508-22:30,30
20010508-23:30,29
20010509-00:30,29
20010509-01:30,29
20010509-02:30,32
20010509-03:30,35
20010509-04:30,37
20010509-05:30,39
20010509-06:30,40
20010509-08:30,42
20010509-09:30,42
20010509-10:30,43
20010509-11:30,42
20010509-12:30,42
20010509-13:30,41
20010509-14:30,40
20010509-15:30,40
20010509-16:30,39
20010509-17:30,38
20010509-18:30,37
20010509-19:30,35
20010509-20:30,35
20010509-21:30,34
20010509-22:30,34
20010509-23:30,34
20010510-00:30,34
20010510-01:30,34
20010510-02:30,36
20010510-03:30,37
20010510-04:30,39
20010510-05:30,40
20010510-06:30,42
20010510-07:30,43
20010510-08:30,44
20010510-09:30,45
20010510-10:30,44
20010510-11:30,44
20010510-12:30,44
20010510-13:30,43
20010510-14:30,41
20010510-15:30,40
20010510-16:30,38
20010510-17:30,37
20010510-18:00,37
20010510-18:30,36
20010510-19:30,35
20010510-20:30,34
20010510-21:30,33
20010510-22:30,33
20010510-23:30,33
20010511-00:30,33
20010511-01:30,34
20010511-02:30,36
20010511-03:30,37
20010511-04:30,38
20010511-05:30,40
20010511-06:30,41
20010511-07:30,43
20010511-08:30,45
20010511-09:30,46
20010511-10:30,46
20010511-11:30,46
20010511-12:30,45
20010511-13:30,41
20010511-14:30,39
20010511-15:30,38
20010511-16:30,36
20010511-17:30,36
20010511-18:30,35
20010511-19:30,34
20010511-20:30,33
20010511-21:30,32
20010511-22:30,31
20010511-23:30,31
20010512-00:30,30
20010512-02:30,31
20010512-03:30,33
20010512-04:30,35
20010512-05:30,37
20010512-06:30,39
20010512-07:30,40
20010512-09:30,43
20010512-10:30,44
20010512-12:30,41
20010512-13:30,39
20010512-14:30,38
20010512-15:30,36
20010512-16:30,35
20010512-17:30,34
20010512-18:30,34
20010512-19:30,33
20010512-20:30,32
20010512-21:30,31
20010512-22:30,31
20010512-23:30,31
20010513-00:30,31
20010513-01:30,32
20010513-02:30,33
20010513-03:30,34
20010513-04:30,37
20010513-05:30,39
20010513-06:30,41
20010513-07:30,42
20010513-08:30,42
20010513-09:30,43
20010513-10:30,44
20010513-11:30,44
20010513-12:30,43
20010513-13:30,39
20010513-14:30,39
20010513-15:30,37
20010513-16:30,36
20010513-17:30,35
20010513-18:30,35
20010513-19:30,34
20010513-20:30,34
20010513-21:30,33
20010513-22:30,32
20010513-23:30,32
20010514-00:30,31
20010514-01:30,32
20010514-02:30,34
20010514-03:30,36
20010514-04:30,37
20010514-05:30,39
20010514-06:30,40
20010514-07:30,41
20010514-08:30,43
20010514-09:30,43
20010514-10:30,43
20010514-11:30,43
20010514-12:30,40
20010514-13:30,38
20010514-14:30,37
20010514-15:30,36
20010514-16:30,34
20010514-17:30,33
20010514-18:30,33
20010514-19:30,32
20010514-20:30,32
20010514-21:30,31
20010514-22:30,31
20010514-23:30,30
20010515-00:30,29
20010515-01:30,30
20010515-02:30,31
20010515-03:30,32
20010515-04:30,33
20010515-05:30,36
20010515-06:30,38
20010515-07:30,40
20010515-08:30,41
20010515-09:30,42
20010515-10:30,43
20010515-11:30,42
20010515-12:30,41
20010515-13:30,33
20010515-14:30,28
20010515-15:30,31
20010515-16:30,35
20010515-17:30,29
20010515-18:30,27
20010515-19:30,26
20010515-20:30,26
20010515-21:30,25
20010515-22:30,24
20010515-23:30,25
20010516-00:30,25
20010516-01:30,25
20010516-02:30,27
20010516-03:30,29
20010516-04:30,30
20010516-05:30,32
20010516-06:30,33
20010516-07:30,34
20010516-08:30,33
20010516-09:30,33
20010516-10:30,33
20010516-11:30,34
20010516-12:30,32
20010516-13:30,32
20010516-14:30,30
20010516-15:30,29
20010516-16:30,28
20010516-17:30,27
20010516-18:30,27
20010516-19:30,26
20010516-20:30,26
20010516-21:30,26
20010516-22:30,25
20010516-23:30,25
20010517-00:30,25
20010517-02:30,26
20010517-03:30,23
20010517-04:30,23
20010517-05:30,21
20010517-06:30,21
20010517-07:30,25
20010517-08:30,27
20010517-09:30,29
20010517-10:30,28
20010517-11:30,28
20010517-12:30,28
20010517-13:30,27
20010517-14:30,27
20010517-15:30,26
20010517-16:30,26
20010517-17:30,25
20010517-18:30,25
20010517-19:30,24
20010517-20:30,24
20010517-21:30,24
20010517-22:30,24
20010517-23:30,24
20010518-00:30,24
20010518-01:30,24
20010518-02:30,25
20010518-03:30,25
20010518-04:30,26
20010518-05:30,26
20010518-06:30,27
20010518-07:30,29
20010518-08:30,30
20010518-09:30,31
20010518-10:30,32
20010518-11:30,32
20010518-12:30,31
20010518-13:30,30
20010518-14:30,29
20010518-15:30,29
20010518-16:30,28
20010518-17:30,27
20010518-18:30,27
20010518-19:30,26
20010518-20:30,25
20010518-21:30,25
20010518-22:30,25
20010518-23:30,25
20010519-00:30,25
20010519-01:30,26
20010519-02:30,27
20010519-03:30,29
20010519-04:30,29
20010519-06:30,33
20010519-07:30,33
20010519-08:30,34
20010519-09:30,35
20010519-10:30,35
20010519-11:30,35
20010519-12:30,33
20010519-13:30,31
20010519-14:30,30
20010519-15:30,30
20010519-16:30,30
20010519-17:30,29
20010519-18:30,29
20010519-19:30,28
20010519-20:30,28
20010519-21:30,27
20010519-22:30,28
20010519-23:30,27
20010520-00:30,28
20010520-01:30,23
20010520-02:30,25
20010520-03:30,25
20010520-04:30,26
20010520-05:30,27
20010520-06:30,29
20010520-07:30,31
20010520-08:30,32
20010520-09:30,33
20010520-10:30,34
20010520-11:30,33
20010520-12:30,33
20010520-13:30,31
20010520-14:30,31
20010520-15:30,30
20010520-16:30,29
20010520-17:30,29
20010520-18:30,28
20010520-19:30,28
20010520-21:30,27
20010520-22:30,27
20010520-23:30,27
20010521-00:30,27
20010521-01:30,28
20010521-02:30,29
20010521-03:30,29
20010521-04:30,30
20010521-05:30,33
20010521-06:30,34
20010521-07:30,33
20010521-08:30,30
20010521-09:30,32
20010521-10:30,31
20010521-11:30,32
20010521-12:30,31
20010521-13:30,30
20010521-14:30,29
20010521-15:30,28
20010521-16:30,27
20010521-17:30,26
20010521-18:30,26
20010521-19:30,25
20010521-20:30,25
20010521-21:30,25
20010521-22:30,25
20010521-23:30,24
20010522-00:30,24
20010522-01:30,25
20010522-02:30,27
20010522-03:30,29
20010522-04:30,31
20010522-05:30,33
20010522-06:30,34
20010522-07:30,35
20010522-08:30,35
20010522-09:30,36
20010522-10:30,37
20010522-11:30,36
20010522-12:30,35
20010522-13:30,35
20010522-14:30,33
20010522-15:30,32
20010522-16:30,31
20010522-17:30,30
20010522-18:30,30
20010522-19:30,29
20010522-20:30,28
20010522-21:30,27
20010522-22:30,27
20010522-23:30,27
20010523-00:30,26
20010523-01:30,27
20010523-02:30,29
20010523-03:30,32
20010523-04:30,33
20010523-05:30,35
20010523-06:30,36
20010523-07:30,37
20010523-08:30,38
20010523-09:30,39
20010523-10:30,39
20010523-11:30,39
20010523-12:30,39
20010523-13:30,38
20010523-14:30,37
20010523-15:30,35
20010523-16:30,35
20010523-17:30,33
20010523-18:30,33
20010523-19:30,33
20010523-20:30,32
20010523-21:30,31
20010523-22:30,30
20010523-23:30,30
20010524-00:30,30
20010524-01:30,32
20010524-02:30,34
20010524-03:30,36
20010524-04:30,37
20010524-05:30,39
20010524-06:30,40
20010524-07:30,41
20010524-08:30,43
20010524-09:30,43
20010524-10:30,43
20010524-11:30,43
20010524-12:30,42
20010524-13:30,41
20010524-14:30,39
20010524-15:30,36
20010524-16:30,35
20010524-17:30,34
20010524-18:30,35
20010524-19:30,34
20010524-20:30,32
20010524-21:30,33
20010524-22:30,33
20010524-23:30,32
20010525-00:30,32
20010525-01:30,33
20010525-02:30,35
20010525-03:30,38
20010525-04:30,39
20010525-05:30,41
20010525-06:30,42
20010525-07:30,43
20010525-08:30,
20010525-09:30,43
20010525-10:30,43
20010525-11:30,43
20010525-12:30,42
20010525-13:30,41
20010525-14:30,40
20010525-15:30,39
20010525-16:30,38
20010525-17:30,38
20010525-18:30,37
20010525-19:30,37
20010525-20:30,36
20010525-21:30,34
20010525-22:30,34
20010525-23:30,34
20010526-00:30,33
20010526-01:30,34
20010526-02:30,35
20010526-03:30,38
20010526-04:30,40
20010526-05:30,41
20010526-06:30,42
20010526-07:30,42
20010526-08:30,42
20010526-09:30,38
20010526-10:30,35
20010526-11:30,36
20010526-12:30,36
20010526-13:30,36
20010526-14:30,35
20010526-15:30,35
20010526-16:30,33
20010526-17:30,33
20010526-18:30,32
20010526-19:30,32
20010526-20:30,32
20010526-21:30,30
20010526-22:30,29
20010526-23:30,30
20010527-00:30,28
20010527-01:30,29
20010527-02:30,27
20010527-03:30,30
20010527-04:30,33
20010527-05:30,31
20010527-06:30,32
20010527-07:30,32
20010527-08:30,33
20010527-09:30,35
20010527-10:30,35
20010527-11:30,35
20010527-12:30,35
20010527-13:30,35
20010527-14:30,34
20010527-15:30,32
20010527-16:30,32
20010527-17:30,33
20010527-18:30,31
20010527-19:30,30
20010527-20:30,28
20010527-21:30,27
20010527-22:30,26
20010527-23:30,27
20010528-00:30,23
20010528-01:30,25
20010528-05:30,27
20010528-06:30,29
20010528-07:30,32
20010528-08:30,33
20010528-09:30,34
20010528-10:30,34
20010528-11:30,34
20010528-12:30,34
20010528-13:30,32
20010528-14:30,31
20010528-15:30,30
20010528-16:30,30
20010528-17:30,29
20010528-18:30,29
20010528-19:30,29
20010528-20:30,29
20010528-21:21,28
20010528-22:30,26
20010528-23:30,27
20010529-00:30,27
20010529-01:30,27
20010529-02:30,26
20010529-03:30,30
20010529-04:30,31
20010529-05:30,32
20010529-06:30,33
20010529-07:30,35
20010529-08:30,36
20010529-09:30,36
20010529-10:30,37
20010529-11:30,37
20010529-12:30,36
20010529-13:30,22
20010529-14:30,26
20010529-15:30,25
20010529-16:30,23
20010529-17:30,24
20010529-18:30,25
20010529-19:30,26
20010529-20:30,26
20010529-22:30,24
20010529-23:30,24
20010530-00:30,23
20010530-01:30,25
20010530-02:30,28
20010530-03:30,31
20010530-04:30,32
20010530-05:30,32
20010530-06:30,32
20010530-07:30,33
20010530-08:30,33
20010530-09:30,35
20010530-10:30,35
20010530-11:30,35
20010530-12:12,
20010530-13:30,34
20010530-14:30,32
20010530-15:30,31
20010530-18:30,30
20010530-19:30,29
20010530-20:30,29
20010530-21:30,27
20010530-22:30,28
20010530-23:30,26
20010531-00:30,27
20010531-01:30,25
20010531-02:30,25
20010531-04:30,31
20010531-05:30,33
20010531-06:30,34
20010531-07:30,35
20010531-08:30,37
20010531-09:30,37
20010531-10:30,34
20010531-11:30,33
20010531-12:30,31
20010531-13:30,29
20010531-14:30,29
20010531-15:30,29
20010531-16:30,29
20010531-17:30,29
20010531-18:30,29
20010531-19:30,25
20010531-20:30,28
20010531-21:30,28
20010531-22:30,29
20010531-23:30,28
20010601-00:30,28
20010601-01:30,28
20010601-02:30,30
20010601-03:30,32
20010601-04:30,33
20010601-05:30,34
20010601-06:30,36
20010601-07:30,36
20010601-08:30,37
20010601-09:30,38
20010601-10:30,39
20010601-11:30,39
20010601-12:30,38
20010601-13:30,38
20010601-14:30,36
20010601-15:30,35
20010601-16:30,35
20010601-17:30,34
20010601-18:30,33
20010601-19:30,33
20010601-20:30,32
20010601-21:30,33
20010601-22:30,32
20010601-23:30,31
20010602-00:30,31
20010602-01:30,32
20010602-02:30,33
20010602-03:30,33
20010602-04:30,34
20010602-05:30,35
20010602-06:30,37
20010602-07:30,37
20010602-08:30,38
20010602-09:30,39
20010602-10:30,39
20010602-11:30,39
20010602-12:30,38
20010602-13:30,37
20010602-14:30,35
20010602-15:30,35
20010602-16:30,35
20010602-17:30,34
20010602-18:30,34
20010602-19:30,33
20010602-20:30,32
20010602-21:30,31
20010602-22:30,30
20010602-23:30,29
20010603-00:30,29
20010603-01:30,30
20010603-02:30,33
20010603-03:30,33
20010603-04:30,35
20010603-05:30,36
20010603-06:30,37
20010603-07:30,38
20010603-08:30,39
20010603-09:30,39
20010603-10:30,39
20010603-11:30,36
20010603-12:30,33
20010603-13:30,33
20010603-14:30,32
20010603-15:30,32
20010603-16:30,32
20010603-17:30,31
20010603-18:30,31
20010603-19:30,31
20010603-20:30,30
20010603-21:30,29
20010603-22:30,29
20010603-23:30,27
20010604-00:30,27
20010604-01:30,28
20010604-02:30,30
20010604-03:30,31
20010604-04:30,33
20010604-05:30,33
20010604-06:30,33
20010604-07:30,27
20010604-08:30,
20010604-09:30,25
20010604-10:30,24
20010604-11:30,27
20010604-12:30,26
20010604-13:30,26
20010604-14:30,26
20010604-15:30,25
20010604-16:30,25
20010604-17:30,25
20010604-18:30,25
20010604-19:30,24
20010604-20:30,24
20010604-21:30,24
20010604-22:30,24
20010604-23:30,23
20010605-00:30,23
20010605-01:30,23
20010605-02:30,24
20010605-03:30,25
20010605-04:30,26
20010605-05:30,27
20010605-06:30,29
20010605-07:30,30
20010605-08:30,31
20010605-09:30,32
20010605-10:30,33
20010605-11:30,33
20010605-12:30,32
20010605-13:30,31
20010605-15:30,30
20010605-16:30,29
20010605-17:30,28
20010605-18:30,28
20010605-19:30,27
20010605-21:30,27
20010605-22:30,27
20010605-23:30,27
20010606-00:30,27
20010606-01:30,28
20010606-03:30,31
20010606-04:30,33
20010606-05:30,34
20010606-06:30,35
20010606-07:30,35
20010606-08:30,35
20010606-09:30,35
20010606-10:30,36
20010606-11:30,35
20010606-12:30,33
20010606-13:30,31
20010606-14:30,
20010606-15:30,30
20010606-16:30,30
20010606-17:30,29
20010606-18:30,29
20010606-19:30,28
20010606-20:30,28
20010606-21:30,28
20010606-22:30,29
20010606-23:30,28
20010607-00:30,28
20010607-01:30,
20010607-02:30,23
20010607-03:30,24
20010607-04:30,25
20010607-05:30,29
20010607-06:30,29
20010607-07:30,31
20010607-09:30,23
20010607-10:30,26
20010607-11:30,29
20010607-12:30,30
20010607-13:30,29
20010607-14:30,27
20010607-15:30,27
20010607-16:30,27
20010607-17:30,27
20010607-18:30,26
20010607-19:30,26
20010607-20:30,26
20010607-21:30,26
20010607-22:30,25
20010607-23:30,25
20010608-00:30,25
20010608-01:30,27
20010608-02:30,29
20010608-03:30,30
20010608-04:30,31
20010608-05:30,33
20010608-06:30,33
20010608-07:30,34
20010608-08:30,36
20010608-09:30,36
20010608-10:30,36
20010608-11:30,37
20010608-12:30,35
20010608-13:30,34
20010608-14:30,33
20010608-15:30,32
20010608-16:30,31
20010608-17:30,30
20010608-18:30,30
20010608-19:30,29
20010608-20:30,28
20010608-21:30,28
20010608-22:30,28
20010608-23:30,28
20010609-00:30,28
20010609-01:30,29
20010609-02:30,31
20010609-03:30,32
20010609-04:30,33
20010609-05:30,34
20010609-08:30,33
20010609-09:30,31
20010609-10:30,33
20010609-11:30,35
20010609-12:30,32
20010609-13:30,30
20010609-14:30,31
20010609-15:30,30
20010609-16:30,29
20010609-17:30,29
20010609-18:30,29
20010609-19:30,28
20010609-20:30,29
20010609-21:30,28
20010609-22:30,28
20010609-23:30,28
20010610-00:30,27
20010610-01:30,29
20010610-02:30,31
20010610-03:30,34
20010610-04:30,35
20010610-05:30,36
20010610-06:30,36
20010610-07:30,38
20010610-08:30,38
20010610-09:30,39
20010610-10:30,39
20010610-11:30,38
20010610-12:30,37
20010610-13:30,35
20010610-14:30,34
20010610-15:30,33
20010610-16:30,32
20010610-17:30,31
20010610-18:30,31
20010610-19:30,30
20010610-20:30,30
20010610-21:30,30
20010610-22:30,30
20010610-23:30,30
20010611-00:30,29
20010611-01:30,30
20010611-02:30,31
20010611-03:30,32
20010611-04:30,33
20010611-05:30,34
20010611-06:30,35
20010611-07:30,36
20010611-08:30,37
20010611-10:30,37
20010611-11:30,37
20010611-12:30,37
20010611-13:30,35
20010611-14:30,34
20010611-15:30,34
20010611-16:30,33
20010611-17:30,32
20010611-18:30,31
20010611-19:30,31
20010611-20:30,30
20010611-21:30,30
20010611-22:30,30
20010611-23:30,30
20010612-00:30,30
20010612-01:30,31
20010612-02:30,
20010612-03:30,33
20010612-04:30,34
20010612-05:30,35
20010612-06:30,37
20010612-07:30,37
20010612-08:30,39
20010612-09:30,39
20010612-10:30,40
20010612-11:30,39
20010612-12:30,39
20010612-13:30,38
20010612-14:30,36
20010612-15:30,35
20010612-16:30,35
20010612-17:30,34
20010612-18:30,33
20010612-19:30,33
20010612-20:30,32
20010612-21:30,32
20010612-22:30,31
20010612-23:30,31
20010613-00:30,31
20010613-02:30,33
20010613-03:30,35
20010613-04:30,36
20010613-05:30,37
20010613-06:30,37
20010613-07:30,38
20010613-08:30,39
20010613-09:30,39
20010613-10:30,39
20010613-11:30,39
20010613-12:30,35
20010613-13:30,35
20010613-14:30,34
20010613-15:30,34
20010613-16:30,32
20010613-17:30,32
20010613-18:30,33
20010613-19:30,32
20010613-20:30,32
20010613-21:30,31
20010613-22:30,31
20010613-23:30,31
20010614-00:30,31
20010614-01:30,30
20010614-02:30,32
20010614-03:30,33
20010614-04:30,31
20010614-05:30,30
20010614-06:30,29
20010614-07:30,25
20010614-08:30,26
20010614-09:30,27
20010614-10:30,29
20010614-11:30,31
20010614-12:30,32
20010614-13:30,31
20010614-14:30,30
20010614-15:30,29
20010614-16:30,29
20010614-17:30,28
20010614-18:30,29
20010614-19:30,28
20010614-20:30,28
20010614-21:30,28
20010614-22:30,28
20010614-23:30,28
20010615-00:30,28
20010615-01:30,29
20010615-02:30,30
20010615-03:30,32
20010615-04:30,33
20010615-05:30,34
20010615-06:30,35
20010615-07:30,35
20010615-08:30,36
20010615-09:30,36
20010615-10:30,36
20010615-11:30,36
20010615-12:30,36
20010615-13:30,35
20010615-14:30,33
20010615-15:30,33
20010615-16:30,31
20010615-17:30,30
20010615-18:30,30
20010615-19:30,30
20010615-20:30,29
20010615-21:30,29
20010615-22:30,30
20010615-23:30,29
20010616-00:30,29
20010616-01:30,30
20010616-02:30,31
20010616-03:30,30
20010616-04:30,31
20010616-05:30,25
20010616-07:30,24
20010616-08:30,25
20010616-09:30,26
20010616-10:30,28
20010616-11:30,29
20010616-12:30,29
20010616-13:30,28
20010616-14:30,28
20010616-15:30,28
20010616-16:30,27
20010616-17:30,27
20010616-18:30,27
20010616-19:30,27
20010616-20:30,27
20010616-21:30,27
20010616-22:30,27
20010616-23:30,27
20010617-00:30,27
20010617-01:30,27
20010617-02:30,29
20010617-03:30,30
20010617-04:30,30
20010617-05:30,30
20010617-06:30,31
20010617-07:30,32
20010617-08:30,32
20010617-09:30,32
20010617-10:30,30
20010617-11:30,30
20010617-12:30,29
20010617-13:30,30
20010617-14:30,29
20010617-15:30,29
20010617-16:30,29
20010617-17:30,29
20010617-18:30,29
20010617-19:30,29
20010617-20:30,28
20010617-21:30,28
20010617-22:30,28
20010617-23:30,27
20010618-00:30,28
20010618-01:30,28
20010618-02:30,28
20010618-03:30,31
20010618-04:30,32
20010618-05:30,33
20010618-06:30,33
20010618-07:30,34
20010618-08:30,34
20010618-09:30,35
20010618-10:30,35
20010618-11:30,35
20010618-12:30,34
20010618-13:30,34
20010618-14:30,33
20010618-15:30,30
20010618-16:30,29
20010618-17:30,29
20010618-18:30,29
20010618-19:30,28
20010618-20:30,28
20010618-21:30,27
20010618-22:30,27
20010618-23:30,27
20010619-00:30,27
20010619-01:30,28
20010619-02:30,29
20010619-03:30,31
20010619-04:30,32
20010619-05:30,34
20010619-06:30,35
20010619-07:30,35
20010619-08:30,36
20010619-09:30,36
20010619-10:30,36
20010619-11:30,37
20010619-12:30,36
20010619-13:30,36
20010619-14:30,35
20010619-15:30,34
20010619-16:30,33
20010619-17:30,32
20010619-18:30,31
20010619-19:30,31
20010619-20:30,31
20010619-22:30,30
20010619-23:30,28
20010620-00:30,28
20010620-01:30,28
20010620-02:30,28
20010620-04:30,30
20010620-05:30,31
20010620-06:00,31
20010620-06:30,33
20010620-07:00,33
20010620-07:30,33
20010620-08:30,35
20010620-09:30,35
20010620-10:30,36
20010620-11:30,36
20010620-12:30,36
20010620-13:30,35
20010620-14:30,35
20010620-15:30,34
20010620-16:30,34
20010620-18:30,31
20010620-19:30,30
20010620-20:30,29
20010620-21:30,29
20010620-22:30,29
20010620-23:30,29
20010621-00:30,29
20010621-01:30,30
20010621-02:30,31
20010621-03:30,32
20010621-04:30,33
20010621-05:30,33
20010621-06:30,34
20010621-07:30,35
20010621-08:30,35
20010621-09:30,36
20010621-10:30,36
20010621-11:30,36
20010621-12:30,36
20010621-13:30,35
20010621-14:30,35
20010621-15:30,34
20010621-16:30,34
20010621-17:30,33
20010621-18:30,33
20010621-19:30,32
20010621-20:30,32
20010621-21:30,32
20010621-22:30,31
20010621-23:30,31
20010622-01:30,30
20010622-02:30,32
20010622-03:30,33
20010622-04:30,34
20010622-15:30,31
20010622-16:30,30
20010622-17:30,31
20010622-18:30,30
20010622-19:30,30
20010622-20:30,30
20010622-21:30,30
20010622-22:30,30
20010622-23:30,30
20010623-00:30,30
20010623-01:30,30
20010623-02:30,30
20010623-03:30,31
20010623-04:30,32
20010623-05:30,33
20010623-06:30,33
20010623-07:30,33
20010623-08:30,35
20010623-10:30,33
20010623-11:30,29
20010623-12:30,25
20010623-13:30,26
20010623-14:30,27
20010623-15:30,27
20010623-16:30,26
20010623-18:30,27
20010623-19:30,27
20010623-20:30,27
20010623-21:30,27
20010623-22:30,26
20010623-23:30,26
20010624-00:30,26
20010624-01:30,27
20010624-02:30,29
20010624-03:30,29
20010624-04:30,30
20010624-05:30,32
20010624-06:30,32
20010624-07:30,28
20010624-08:30,28
20010624-09:30,29
20010624-10:30,30
20010624-11:30,30
20010624-12:30,30
20010624-13:30,29
20010624-14:30,28
20010624-15:30,27
20010624-16:30,26
20010624-17:30,27
20010624-18:30,27
20010624-19:30,27
20010624-20:30,27
20010624-21:30,27
20010624-22:30,27
20010624-23:30,27
20010625-00:30,27
20010625-01:30,26
20010625-02:30,27
20010625-03:30,28
20010625-04:30,29
20010625-05:30,30
20010625-06:30,32
20010625-07:30,32
20010625-09:30,32
20010625-10:30,33
20010625-11:30,31
20010625-12:30,31
20010625-13:30,29
20010625-14:30,29
20010625-15:30,29
20010625-16:00,29
20010625-16:30,28
20010625-17:30,28
20010625-18:30,28
20010625-19:30,28
20010625-20:30,27
20010625-21:30,27
20010625-22:30,27
20010625-23:30,27
20010626-00:30,27
20010626-01:30,27
20010626-02:30,29
20010626-03:30,29
20010626-04:30,31
20010626-05:30,31
20010626-06:30,32
20010626-07:30,32
20010626-08:30,33
20010626-09:30,31
20010626-10:30,31
20010626-11:30,32
20010626-12:30,31
20010626-13:30,30
20010626-14:30,30
20010626-15:30,29
20010626-16:30,29
20010626-17:30,29
20010626-18:30,28
20010626-19:30,28
20010626-20:30,28
20010626-21:30,28
20010626-22:30,28
20010627-00:30,27
20010627-03:30,30
20010627-04:30,31
20010627-05:30,33
20010627-06:30,33
20010627-07:30,30
20010627-08:30,33
20010627-09:30,35
20010627-10:30,32
20010627-11:30,33
20010627-12:30,30
20010627-13:30,29
20010627-14:30,28
20010627-15:30,28
20010627-16:30,28
20010627-17:30,28
20010627-18:30,28
20010627-19:30,28
20010627-20:30,28
20010627-21:30,27
20010627-22:30,27
20010627-23:30,27
20010628-01:30,29
20010628-02:30,30
20010628-03:30,31
20010628-04:30,32
20010628-05:30,33
20010628-06:30,34
20010628-07:30,35
20010628-08:30,35
20010628-09:30,37
20010628-10:30,36
20010628-11:30,36
20010628-12:30,35
20010628-13:30,
20010628-14:30,34
20010628-15:30,33
20010628-16:30,32
20010628-17:30,31
